,selling_price,year,manufacturer,name,cylinders,km_driven,transmission,owner_id,size,type,paint_color
10011,4990,2008,toyota,scion xd,,98344,automatic,JTKKU10478J012702,sub-compact,hatchback,blue
10012,3450,2003,toyota,rav4,,,automatic,JTEHH20V336081074,,wagon,black
10013,17995,2015,ford,explorer,,119985,automatic,1FM5K8GT0FGA12093,,SUV,black
10014,3450,2002,honda,odyssey,,145347,automatic,5FNRL18622B008568,,SUV,silver
10015,9990,2009,chevrolet,silverado,,,automatic,3GCEK23M99G128711,,pickup,black
10016,2990,2003,honda,civic,,198340,automatic,1HGES16573L001563,compact,sedan,
10017,7995,2005,chrysler,pt cruiser,,51945,manual,3C3AY75S85T335666,,convertible,
10018,9995,2007,chevrolet,silverado 1500,,144110,automatic,1GCEC14CX7Z551744,,pickup,blue
10019,13995,2009,chevrolet,tahoe,,182656,automatic,1GNFK23049R242429,,SUV,grey
10020,13995,2011,chevrolet,tahoe,,156523,automatic,1GNSKBE01BR139258,,SUV,grey
10021,16995,2011,chevrolet,silverado 1500,,99452,automatic,3GCPKSEA9BG131951,,pickup,black
10022,25995,2018,honda,accord,,33283,automatic,1HGCV2F95JA027224,,sedan,white
10023,12995,2013,acura,tsx,,55588,automatic,JH4CU2F48DC003951,,sedan,silver
10024,15995,2008,cadillac,escalade esv,,106339,automatic,1GYFK66828R219631,,SUV,
10025,23995,2016,honda,pilot,,54255,automatic,5FNYF5H94GB024217,,SUV,white
10026,7995,2007,lexus,is,,138130,automatic,JTHCK262272015401,,other,
10027,6995,2010,audi,a4,,117055,automatic,WAUBFAFL0AN010415,,sedan,black
10028,15995,2014,cadillac,xts,,87827,automatic,2G61P5S34E9248028,full-size,sedan,silver
10029,11995,2010,dodge,challenger,,108303,automatic,2B3CJ4DV0AH138692,,coupe,grey
10030,19995,2008,dodge,challenger,,57344,automatic,2B3LJ74W68H182930,,coupe,orange
10031,9995,2012,honda,accord,,85301,automatic,1HGCP2F60CA057203,,sedan,white
10032,7495,2013,kia,optima,,97588,automatic,5XXGM4A7XDG112539,,sedan,
10033,26995,2016,rover,discovery sport,,18131,automatic,SALCR2BG1GH547467,,SUV,black
10034,9995,2018,harley-davidson,xl 1200 xs,,1473,manual,1HD1LR326JC434046,,,white
10035,5995,2006,acura,tl,,107663,automatic,19UUA662X6A019329,,sedan,
10036,2300,2007,honda,accord,4 cylinders,229635,automatic,3HGCM56467G706969,full-size,other,grey
10037,6995,2004,bmw,5 series,,91018,manual,WBANA535X4B167786,,sedan,silver
10038,10995,2015,volkswagen,jetta sedan,4 cylinders,55263,automatic,3VWD17AJ9FM275061,,sedan,black
10039,20000,2005,gmc,sierra 2500hd,8 cylinders,185000,automatic,,,truck,red
10040,3500,1997,ram,1500,8 cylinders,126919,automatic,,full-size,pickup,green
10041,0,2018,nissan,altima,4 cylinders,47787,automatic,1N4AL3AP6JC108153,,sedan,blue
