,selling_price,year,manufacturer,name,cylinders,km_driven,transmission,owner_id,size,type,paint_color,ex_showroom_price
1393,21944,2008,gmc,sierra,,69784,automatic,1GTHK39K88E177414,,pickup,white,30299
1394,6700,2009,honda,civic coupe,4 cylinders,,automatic,,,coupe,blue,14066
1395,8800,2009,honda,civic ex,4 cylinders,,automatic,,,sedan,blue,13802
1396,12000,1971,volkswagen,karmnan ghia,4 cylinders,,manual,,,sedan,green,17806
1397,5700,2009,toyota,prius,4 cylinders,,automatic,,full-size,hatchback,black,12549
1398,24995,2015,jeep,wrangler unlimited willy's,6 cylinders,50793,automatic,1C4BJWDG5FL672370,,SUV,white,31810
1399,27995,2015,gmc,sierra sle 1500,8 cylinders,43480,automatic,3GTU2UECXFG204945,full-size,pickup,grey,32118
1400,23495,2017,chevrolet,traverse,6 cylinders,43772,automatic,1GNKVGKD9HJ214775,full-size,SUV,white,30021
1401,18495,2018,hyundai,tucson,4 cylinders,17221,automatic,KM8J3CA41JU739933,full-size,SUV,blue,24724
1402,18800,2018,hyundai,tucson,4 cylinders,27067,automatic,KM8J3CA45JU708457,full-size,SUV,silver,26299
1403,2495,2003,subaru,forester,4 cylinders,,automatic,,,,,9412
1404,24900,2016,gmc,sierra 1500,8 cylinders,59674,automatic,1GTV2LEC8GZ260768,full-size,truck,grey,33655
1405,18495,2019,mitsubishi,eclipse cross,4 cylinders,12687,automatic,JA4AT3AAXKZ031169,full-size,SUV,grey,25934
1406,16495,2015,chevrolet,equinox,4 cylinders,38416,automatic,2GNFLGEKXF6433496,full-size,SUV,custom,24168
1407,0,2013,gmc,sierra 1500,8 cylinders,71659,automatic,1GTR2UEA1DZ230853,full-size,truck,grey,0
1408,20995,2015,ram,1500,8 cylinders,64545,automatic,3C6RR7KT4FG712729,full-size,truck,black,28858
1409,24900,2014,chevrolet,silverado 1500,8 cylinders,68017,automatic,3GCUKREC6EG567027,full-size,truck,silver,30392
1410,39995,2018,ram,3500,8 cylinders,8003,automatic,3C63R3CJ7JG361156,full-size,truck,red,44985
1411,21495,2014,ram,1500,8 cylinders,47881,automatic,1C6RR7GT9ES474666,full-size,truck,black,26660
1412,5000,1978,ford,f250,6 cylinders,41091,manual,F25BCBE3221,,truck,black,9668
1413,11500,2011,ford,f150 lariat,,177000,automatic,,,,,18941
1414,22900,2013,chevrolet,silverado 1500,8 cylinders,71000,automatic,,full-size,pickup,,28736
1415,3495,2007,subaru,outback,,,automatic,,,,,8919
1416,10495,2015,toyota,camry hybrid,4 cylinders,131347,automatic,4T1BD1FK6FU144497,mid-size,sedan,grey,18064
1417,19995,2016,ford,f-150,,12132,automatic,1FTMF1C87GKD98832,,pickup,white,25327
1418,17995,2017,fiat,124 spider,,35113,automatic,JC1NFAEK2H0102414,,convertible,,24847
1419,8495,2010,toyota,prius,4 cylinders,147395,automatic,JTDKN3DU1A0132646,mid-size,hatchback,blue,12950
1420,23995,2016,dodge,charger,,44358,automatic,2C3CDXJG9GH310731,full-size,sedan,black,30508
1421,29900,1966,buick,riviera,,,automatic,,,,,35504
1422,16000,2012,chevrolet,silverado,8 cylinders,91000,automatic,,full-size,pickup,black,23315
1423,35900,2015,gmc,sierra 1500 slt,,,automatic,,,,,40531
1424,18900,2016,jeep,cherokee,,,automatic,,,,,25644
1425,42800,2015,gmc,sierra 2500hd,,,automatic,,,,,47243
1426,52900,2015,gmc,sierra 2500hd denali,,,automatic,,,,,58512
1427,34800,2015,chevrolet,tahoe,,,automatic,,,,,41152
1428,37700,2017,chevrolet,silverado 1500 ltz,,,automatic,,,,,42480
1429,22500,2014,chevrolet,silverado 1500,,,automatic,,,,,29639
1430,17500,2018,chevrolet,mailbu,,,automatic,,,,,21872
1431,16900,1999,ford,mustang cobra svt,,,manual,,,,,24372
1432,14900,2014,ford,fusion,,,automatic,,,,,23420
1433,14900,2018,ford,focus se,,,automatic,,,,,22217
1434,9995,2012,chevrolet,volt,,59088,automatic,1G1RD6E43CU104921,compact,hatchback,blue,15274
1435,5900,2008,subaru,outback 5 speed manual,4 cylinders,,manual,4S4BP60C686313964,mid-size,wagon,brown,12876
1436,33900,2016,ford,f-150 xlt,,,automatic,,,,,41530
1437,34200,2016,ford,f-150 xlt,,,automatic,,,,,38907
1438,28900,2016,ford,f-150 xlt,,,automatic,,,,,35405
1439,33900,2015,ford,f-150 lariat super cab,,,automatic,,,,,38015
1440,26999,2013,toyota,tundra platinum crewmax,8 cylinders,93200,automatic,,full-size,truck,red,35241
1441,40500,2016,ford,f-150,,,automatic,,,,,47061
1442,33800,2017,ford,explorer,,,automatic,,,,,41330
1443,18900,2017,ford,escape se,,,automatic,,,,,23257
1444,37500,2016,ford,excursion xlt,,,automatic,,,,,42378
1445,45990,2015,ram,5500,,67458,,3C7WRNEL3FG620770,,other,silver,50247
1446,17990,2006,ford,f-550,,64327,,1FDAF56P36EA29360,full-size,other,white,23109
1447,6800,2013,volkswagen,jetta se 5 speed,5 cylinders,,manual,3VWBP7AJ6DM401797,mid-size,sedan,silver,13552
1448,5400,2002,chevrolet,silverado 1500,8 cylinders,158935,manual,,,pickup,green,11107
1449,13990,2009,ford,f-350,,139606,,1FTSX30559EA23856,,pickup,,22156
1450,18995,2013,jeep,wrangler,6 cylinders,54354,automatic,1C4AJWBG7DL684161,,SUV,,24172
1451,5000,2006,toyota,tundra double cab,8 cylinders,154840,automatic,5TBDT441X6S540201,full-size,pickup,green,12757
1452,8995,2013,ford,explorer,6 cylinders,142000,automatic,1FM5K8AR6DGC35880,full-size,SUV,grey,15582
1453,6500,2012,lincoln,mkz,6 cylinders,,automatic,,mid-size,sedan,blue,11305
1454,6995,2006,bmw,530xi wagon,6 cylinders,117000,automatic,WBANN73526CN02438,full-size,wagon,grey,13171
1455,7995,2013,ford,fusion,,120000,automatic,3FA6P0H7ADR269157,full-size,sedan,black,14528
1456,11000,2013,honda,crv- ex,4 cylinders,111700,automatic,5J6RM4H50DL056683,compact,SUV,red,17002
1457,5500,2003,ram,2500 diesel,,,automatic,,,,,10086
1458,20000,2005,,freightliner classic xl,6 cylinders,1300000,manual,,,truck,,28915
1459,6000,2012,mazda,5,4 cylinders,65000,automatic,,,,blue,11217
1460,6995,2014,dodge,charger,8 cylinders,156000,automatic,2C3CDXAT5EH287488,full-size,sedan,blue,12955
1461,14998,2015,mercedes-benz,b-class,,29139,automatic,WDDVP9AB2FJ004548,,hatchback,white,19511
1462,7995,2006,ford,econoline e350,8 cylinders,104000,automatic,1FTSS34L96DB30420,full-size,van,white,13433
1463,6500,2010,toyota,tacoma sr5,4 cylinders,150000,automatic,,,truck,grey,15235
1464,8992,2016,fiat,500e,,26589,automatic,3C3CFFGE4GT229444,,hatchback,grey,15940
1465,16911,2017,ford,explorer,,72921,automatic,1FM5K8AR3HGA94272,,SUV,black,24740
1466,950,2007,ford,f-350 xl,,,automatic,,,,,9865
1467,4500,2009,toyota,prius,4 cylinders,180000,automatic,JTDKB20U997860811,compact,hatchback,blue,11103
1468,123456,2020,,"C10, chevelle, camaro",8 cylinders,,manual,,,,,129118
1469,10995,2013,ford,explorer awd,6 cylinders,150000,automatic,1FM5K8AR8DGA42341,full-size,SUV,custom,17853
1470,3800,2008,subaru,outback 2.5k mt awd,4 cylinders,171276,manual,4S4BP61C986319210,,SUV,blue,9425
1471,2195,2001,subaru,outback,4 cylinders,,automatic,,,,,10246
1472,33944,2018,ford,f-150,,12783,,1FTEW1EP8JFD98332,,pickup,black,41733
1473,7900,2009,lexus,rx350 awd,6 cylinders,168000,automatic,2t2hk31u39c116808,,SUV,grey,15830
1474,8500,2011,nissan,xterra pro-4x,6 cylinders,142000,automatic,,,SUV,silver,16570
1475,1595,2002,honda,accord sport se,4 cylinders,,automatic,,mid-size,sedan,black,6645
1476,1000,2006,volvo,s40 2.4l,4 cylinders,160000,automatic,,mid-size,sedan,silver,6161
1477,1000,1994,chevrolet,blazer,8 cylinders,,automatic,,full-size,SUV,red,5485
1478,5000,1990,gmc,,8 cylinders,200000,automatic,,,,,13560
1479,2000,2003,subaru,legacy wagon,4 cylinders,115000,automatic,,,,,10493
1480,15700,2013,toyota,highlander,6 cylinders,74000,automatic,,,SUV,silver,22094
1481,4000,1988,ford,f350 dually,8 cylinders,,manual,,,,,11736
1482,2500,2004,ford,f-250 super duty,8 cylinders,226362,automatic,,full-size,pickup,blue,10634
1483,3700,2004,ford,f250 f-250 super duty,10 cylinders,119500,automatic,1FTNX21S94EB22538,,pickup,blue,11338
1484,37995,2017,,handicap van,6 cylinders,,automatic,,,,,45577
1485,6500,2007,subaru,outback 2.5i wagon,4 cylinders,,automatic,4S4BP61C177342781,mid-size,wagon,silver,13026
1486,4500,2010,toyota,corolla s,4 cylinders,,manual,,,,,8563
1487,1695,2000,mercury,grand marquis,8 cylinders,,automatic,,,,,9435
1488,11500,2013,nissan,pathfinder sl,6 cylinders,92000,automatic,,mid-size,SUV,red,18055
1489,29995,2018,,handicap van,,,automatic,,,,,36576
1490,15400,2013,gmc,sierra 1500 w/t,8 cylinders,55000,automatic,,full-size,pickup,black,22582
1491,7000,1999,chevrolet,1500,8 cylinders,,automatic,,full-size,van,blue,13406
1492,33500,2016,chevrolet,silverado 2500 hd,8 cylinders,47000,automatic,,full-size,truck,red,39220
1493,1,2009,ford,escape,,,automatic,,,,,7777
1494,1,1999,honda,,,,manual,,,,,7055
1495,4600,2009,pontiac,vibe,4 cylinders,140000,automatic,,,hatchback,blue,9837
